Cuenca;Cuerpo de Agua;Codigo;Fase;An/O INICIO;An/O FINAL;Responsable del muestreo;Clase: Indice Holandes;Clase: Indice BMWP-CR;Clasificacion del tramo del CA;geometry;Longitud (CRTM05);Latitud (CRTM05);Sitio de Muestreo;Provincia;Canton;Distrito;Mes;Año;Régimen_de_lluvia;Indice_Holandés;Interpretacion_I_Holandés;Indice_Biológico;Interpretacion_I_Biológico;ESTADO ACTUAL;
Esquinas;Piedras Blancas;PS-ESQ-01;V;2019;2020;UCR;2;1;2;c(583319,21, 970837,56);583319,21;970837,56;Punto 1, Rio Piedras Blancas;Puntarenas;Osa;Piedras Blancas;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;187;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Piedras Blancas;PS-ESQ-02;V;2019;2020;UCR;1;1;1;c(603913,51, 958332,51);603913,51;958332,51;Punto 2, Rio Piedras Blancas;Puntarenas;Osa;Piedras Blancas;Agosto;2019;Estacion lluviosa;3;Sin contaminacion;158;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Claro;PS-ESQ-03;V;2019;2020;UCR;2;1;2;c(593881,96, 958299,35);593881,96;958299,35;Punto 3, Rio Claro;Puntarenas;Golfito;Golfito;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;158;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Coto Colorado;PS-ESQ-04;V;2019;2020;UCR;2;1;2;c(602048,97, 956133);602048,97;956133;Punto 4, Rio Coto Colorado;Puntarenas;Golfito;Golfito;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;127;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
Esquinas;Corredores;PS-ESQ-05;V;2019;2020;UCR;2;1;2;c(616296,2, 955585,48);616296,2;955585,48;Punto 5, Rio Corredores;Puntarenas;Corredores;Corredor;Agosto;2019;Estacion lluviosa;4;Contaminacion incipiente;169;Aguas de calidad excelente;MONITOREO ACTIVO;
;;;;;;;;;;;;;;;;;Noviembre;2019;Transición Lluviosa-Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Febrero ;2020;Estación Seca;N/A;N/A;N/A;N/A;;
;;;;;;;;;;;;;;;;;Mayo;2020;Transición Seca-Lluviosa;N/A;N/A;N/A;N/A;;
